CRIMINAL_OFFENCE_CODE;STATE_ID;DEFINITION
T11RA;4;included: §§ 201, 202, 205 StGB
T11RA;6;1) A minor under the age of 14 years old cannot legally consent to sexual intercourse. This is always considered as a rape.
T11RA;13;PC §141.
T11RA;15;Rape on minor (less than 15) does not include sexual intercourse without violence which is minor sexual abuse (atteinte sexuelle sur mineur sans violence). But the definition of rape is broad and “violence” may be pressure, threat, surprise and for instance some incest committed without violence may be charged as rape.
T11RA;24;Penetration other than vaginal falls within Section 160 of the Latvian Criminal Law – “Forcible Sexual Assault” and thus does not belong to the rape category.
T11RA;25;Sexual intercourse without force with a minor under 14 years old is usually considered as sexual intercourse with helpless person and is punishable as rape or sexual abuse. Such cases are not separated from the (child rape) cases in which the violence was used.
T11RA;35;• Sexual intercourse with a child without force applies only to children under 12.
T11RA;37;According to Slovak Criminal Code, only a woman can be a victim of rape. Male victims of “rape” are considered victims of sexual violence. Police statistical system respects this legal concept. Therefore, cases of offences of “rapes” (in terms of European Sourcebook definition) where a man was the victim are not included in figures for rapes, but they are part of the overall numbers of sexual assaults, because they are included under sexual violence, and sexual violence is included under sexual assault.  Cases of “Sexual intercourse with force with a child” are included under “Sexual abuse of a child”.
T11RA;39;Data on rape refer to art. 179 of the Spanish Criminal Code (sexual aggression with penetration).
T11RA;41;Sexual intercourse without force with a helpless person only women. Men (contraintes sexuelles)
T11RA;44;"Criminal Code of Ukraine provides several types of offences against sexual freedom and sexual inviolability of a person (articles 152-156).  The essential features of rape: 1) the subject of this crime may be male or female; 2) any sexual intercourse without force and with consent of a victim can not be qualified as rape; 3) any type of nonvaginal sexual intercourse can not be qualified as rape but qualified under article 153.  Sexual assault of a juvenile is qualified as aggravated rape.  Pornography and child pornography are stated as criminal offences but have separate regulation (article 301)."
T11SM;3;The person who had committed sexual abuse under the age of consent can be held criminally liable only for sexual intercourse or any other form of physical sexual contact committed against the will of the victim using force, threat of force or helpless situation of the victim.
T11SM;4;included: §§ 206, 207 StGB  Acts comitted below the age of consent are registered but not convicted.    § 212 (Missbrauch eines Autoritätsverhältnisses) includes certain constellations with minors (e.g. scholars, step child) but also sexual assaults against adults by particular occupational groups (e.g. doctors, pschychologists, administration officers). These cases are not differentiated in the figures. Therefore § 212 is excluded.
T11SM;8;There are no available police and conviction statistics on sexual abuse of a child.
T11SM;11;Acts committed by a person below the age of consent are included in police statistics only, criminal prosecution is discontinued afterwards due to lack of criminal responsibility (age under 15)  In police statistics are included figures concerning sexual abuse of a person under the age of 18 (in case of abuse his or her dependence or person entrusted) also.
T11SM;12;Indicent behavior involving physical contact with a child is not included
T11SM;13;PC §§ 142/2/1, 143/2/1, 143.1/2/1, 145, 146 (all are included in 'Total sexual assault'). More comprehensive definition than was used in ESB4, and more precise (narrower) than was used in UNCTS (which includes pornographic offences).
T11SM;17;There are some cases where the law applies a higher age of consent (16 or 18), namely in sections 174 and 182 Criminal Code, but these offences are not included here. Offence reported only refer to offences against children, i.e. persons under 14. All other forms of sexual abuse are only included in the headline category (sexual assault).    Acts committed by a person below the age of consent are theoretically included according to the law. However, since the general age of consent (14) equals the general age of criminal responsibility, persons below the age of consent are not punishable. They might be included in police statistics, although this is not likely for all but the most extreme cases.     Acts considered as rape might be included if they were committed against persons below the general age of consent. Legally, these acts are considered both rape and sexual abuse of a child.
T11SM;18;Police statistics do not provide separate counts for these offences.
T11SM;25;"Offences according to the Criminal Code.   1) Sexual contentment in contravention to sexual self-determination and inviolability of minor (Art. 151(1)).  In the crime there are two different parts: in the 1st part – sexual intercourse or other form of sexual contentment with a minor offering him (her) material or other advantage (if there was no constituent elements (corpus delicti) for rape or forcing to have sexual intercourse); in the 2nd part – sexual intercourse or any other form of sexual contentment of father, mother or other lawful custodian with a minor (if there was no constituent elements for rape or forcing to have sexual intercourse).  This article also enshrines that criminal liability does not arise if the people do not differ much in age, physical and emotional maturity  2) Sexual abuse of minor (Art. 153). The main difference from rape (Art. 149, 150) is the absence of sexual intercourse (vaginal, anal, oral, interfemoral) which is a constituent element of rape. This article also includes verbal or any other form of non-physical molestation. Thus statistics show the cases without physical violence, as well."
T11SM;30;The distinction between 'Sexual assault' and 'Sexual abuse of a child' is not strict: in Dutch criminal law there is no distinction between ‘Sexual acts committed against a helpless person’ and ‘Other form of sexual contact without violence to a child’. Both are now counted under ‘Sexual assault’.  No police statistics available.
T11SM;31;Includes:  Incest  Sexual intercourse with children under 16  Sexual act with children under 16
T11SM;33;Persons bellow de age of consent are not criminally imputable.
T11SM;35;• Child pornography is considered a crime under Article 242 “Illegal production and distribution of pornographic materials and objects”.
T11SM;37;"Acts committed by persons below the age of consent are not considered to be criminal. A general age of criminal responsibility in Slovakia is 14; however criminal responsibility for sexual abuse is an exception – it is set to 15 years of age, accordingly to the age under which a minor cannot validly consent to have sexual contacts."
T11SM;38;#NÁZOV?
T11SM;39;No data available on sexual abuse of a child.
T11SM;44;Ukraine does not set the age under which a minor cannot validly consent to have sexual contacts at the Criminal Code of Ukraine. Article 155 of the Criminal Code of Ukraine provides for criminal responsibility for sexual relations with a person who has not reached puberty. Puberty determined in each case by forensic experts.According to the Rules of conducting forensic examinations  approved by the Ministry of Health of Ukraine a female or male persons under 14 years are considered as not having reached puberty.
T11SM;46;The Sexual Offences (Northern Ireland) Order 2008 was introduced In February 2009 and has altered the definition and coverage of sexual offences.  The age of consent was 17 until 1st February 2009.  From the 1st February 2009 the age of consent is 16.
T11RO;3;The same concepts as for police statistics were used also for conviction statistics.
T11RO;4;included: §§ 131, 142, 143 StGB    Conviction statistics: same as the police
T11RO;6;"It concerns ""armed theft"" and ""violent theft without arm"""
T11RO;8;Conviction statistics include the same crimes as police statistics but do not exclude preparation for robbery.
T11RO;9;Conviction statistics do not depart from police statistics with respect to robbery (muggings, theft immediately followed by force or threat of force used to keep hold of the stoled goods and attempts are included, whereas pick-pocketing, extortion and blackmailing are excluded).
T11RO;10;Conviction statistics:   Same as police statistics (on included & excluded) for Robbery.
T11RO;11;the same for conviction statistics   theft immediately followed by force or threat of force used to keep hold of   the stolen goods is THEFT.
T11RO;12;Information on Conviction statistics is missing. But the same definition is used.  Robberies from bank, shops and the like are excluded
T11RO;13;PC §200.  Conviction statistics include the same types of offences.
T11RO;14;NOTE: Conviction stat incl/excl def. = Police def.
T11RO;15;Thefts with violence appear in conviction statistics only if there is no other aggravating circumstance. The consequence is that conviction statistics significantly underestimate the number of convictions for robbery. The total of convictions for theft therefore includes robbery.
T11RO;17;Extortion accompanied by violence or threat of violence is included.    The definition is the same for conviction statistics.
T11RO;23;Conviction statistics:   all included.    goodsRobbery by the penal code of Kosovo is foresseen as Theft.  Whoever, by the   use of   force   or   serious  threat   to   attack   the   life   or   body   of   another , appropriates the movable property of the nature of robbery (article 254)such    person    with   the   intent   to     unlawful  material benefit for himself or herself   or   another   person
T11RO;24;Conviction statistics for robbery in Latvia is equivalent to police statistics
T11RO;25;There is one crime of robbery in Lithuanian criminal law (Art. 180 of new Criminal Code).  It is difficult to delimit theft from robbery in Lithuanian criminal law, especially in the cases of bag-snatchings. In one case bag-snatchings might be considered as thefts while in the other as robberies - it depends on the concrete situation. Usually when the force is used only to snatch the thing from the victim - it is theft.   If during the robbery the offender kills the victim, then only intentional homicide (having selfish purposes) is registered.
T11RO;30;Idem for conviction statistics
T11RO;32;For conviction statistics - same answers as for police statistics
T11RO;33;"For conviction statistics:  Included;  Included;  Included;  Excluded;  Excluded;  Excluded."
T11RO;36;"Robbery includes aggravated/compound theft, grand larceny (the theft with elements of robbery) and robbery.    Additional information on the definitions in the CC of the Republic of Serbia:  Aggravated Theft   (1) Persons committing the offence of theft (Article 203) shall be punished with  imprisonment of one year to eight years, if the theft was committed:  1) by forcing or breaking into closed buildings, apartments, rooms, safes,  cabinets or other closed premises or by otherwise overcoming mechanical, electronic or other obstacles;  2) by a group;  3) in a particularly dangerous or brazen manner;  4) by someone having on his person a dangerous offensive or defensive weapon  or implement;  5) during a fire, flood, earthquake or other disaster;  6) by taking advantage of the helplessness or other grave condition of a person;  (2) The penalty referred to in paragraph 1 of this Article shall also be imposed to a perpetrator of the offence of theft if the value of stolen items exceeds the amount of four hundred and fifty thousand dinars or if the stolen object represents a cultural asset, an asset previously protected, or a natural asset.  (3) if the value of stolen goods exceeds one million dinars, the offender shall be punished with imprisonment of from two to ten years.  Theft with Elements of Robbery   (1) Whoever caught in the act of theft (Article 203) and with intent to keep a stolen object uses force against a person or threat of direct attack against the life or limb, shall be punished with imprisonment of one to ten years.  (2) If the value of stolen goods exceeds one million and five hundred thousand dinars, the offender shall be punished with imprisonment of from two to twelve years.  (3) If the offence referred to in paragraphs 1 through 3 of this Article is committed by a group, or intentional serious bodily harm is inflicted to a person, the offender shall be  punished with imprisonment of three to fifteen years,  (4) if the offence referred to in paragraphs 1 through 3 of this Article is committed by an organised criminal group, the offender shall be punished with imprisonment of at least five years.  Robbery   (1) Whoever by use of force against a person or threat of direct attack upon the life or limb appropriates another’s movable object with intent to acquire unlawful material gain for himself or another, shall be punished with imprisonment of two to ten years.  (2) Where the offence referred to in paragraphs 1 and 2 of this Article is committed by a group, or intentional bodily harm is inflicted on a person, or where the value of the appropriated goods exceeds the amount of one million five hundred thousand dinars, the  offender shall be punished with imprisonment of three to fifteen years.  (3) If the offence referred to in paragraphs 1 and 2 of this Article is committed by a group, the offender shall be punished with imprisonment of a minimum of five years.  (4) If the value of appropriated goods referred to in paragraph 1 of this Article does not exceed fifteen thousand dinars, and the intent of the offender was to acquire a small material gain, the offender shall be punished with imprisonment of up to three years.  (5) The attempt of the offence referred to in paragraph 4 of this Article shall be penalised."
T11RO;39;Data on robbery refer to art. 242 of the Spanish Criminal Code (stealing with violence or intimidation against persons). It does not include stealing a vehicle with violence or intimidation against persons.
T11RO;40;The same answers for conviction statistics as for police statistics.
T11RO;43;Table is filled in for convictions. For police data, I do not know what exactly was included.
T11RO;44;Criminal Code of Ukraine gives definitions of such types of crimes against property, each of them including aggravated obstacles (stated in parts 2 and thereof of the articles). Classification of these crimes under Ukrainian legislation differs from traditional common-law concept of burglary.  Under Criminal Code of Ukraine stealing of property may be secret (theft) and overt (robbery and brigandism).  Domestic stealing is qualified as theft in case of covert deprivation of property by offender (the owner of property is absent or does not know what is happening).  If offender breaks into a residence (any building suitable for living of a person, including some technical shelters on private territory) when the owners are aware of that fact and applies violence toward the owner, such actions may be qualified as robbery or brigandism. The waterline between those cases lies in the type of violence: if non dangerous for a person at the moment application – it is qualified as robbery, if dangerous for a person at the moment application (for instance with the use of fire arms) – it is qualified as brigandism.  For all stated above crimes (theft, robbery and brigandism) such obstacle as breaking into a residence or any other premises or shelter is aggravated.   in police and court statistics I included data only about robbery (as at 4 ed.)
T11RO;45;Muggings if there is the use or threat of force are included.
T11TH;3;There is no statistics on burglary in Armenia as this crime is not foreseen by the Armenian Criminal code.
T11TH;4;included: §§ 127, 128, 129, 130, 141 StGB
T11TH;8;Both police and conviction statistics include theft by employees since according to Bulgarian law it is considered as theft and not as embezzlement.
T11TH;10;Thefts of value under 1000 Euro, are considered to be minor crimes, figures of which are not included in this report.
T11TH;11;Small value theft is considered as a crime for example for pick-pocketing, burglary etc.
T11TH;12;Theft of motor vehicles    is defined as in the folowing section
T11TH;13;PC §199. “Total theft” does not include temporary use of a motor vehicle (PC §215), although such cases are included in the row “theft of a motor vehicle”.    Minor theft: included if third similar offence - see definitions.
T11TH;15;Embezzlement (“détournement”) is excluded but theft by employee is not an embezzlement, it is a theft included with total theft if transmitted to the police or to the court.
T11TH;17;Unauthorised use (“theft”) of electricity (section 248c Criminal Code) is a separate offence. It is included in all data reported for theft.    Joyriding is included (as for theft of motor vehicles, too).
T11TH;23;• Burglary is foreseen as Aggravated Theft (article 253)  • theft of motor vehicles is foreseen as Taking Possession of Movable Property (article 258)  • robbery is foreseen as a its own offence (robbery article 255)  Receiving Stolen Goods is foreseen in its own offence (article 272
T11TH;24;285 Euros equals 200 Lats which is the gross minimum monthly salary in Latvia (as of 2012)
T11TH;25;There is one crime of theft in Lithuanian criminal law (Art. 178).  This statistics does not include the theft of some special objects: narcotics or psychotropic substances, guns, explosives, radioactive substances, documents. Such acts constitute separate crimes, e. g. stealing of narcotic substances (Art. 263 ).  In the CC (Art.178. 3) the responsibility for minor theft (when the value is from 130 to 390 Lt. (37.6 – 113 €). When the value is smaller than 130 Lt., criminal responsibility does not exist, in this case there is possible only administrative responsibility (Art. 50). The presented statistical data involves only the theft as crimes.
T11TH;35;• Small value theft is excluded from the police statistics as a non-criminal offense according to Federal Law N 133-?? (31.10.2002 ), Federal Law N 116-?? (22.06.2007), and Federal Law N 74-?? (16.05.2008)
T11TH;36;Definition of the theft in the Serbian CC:  Theft   (1) Whoever appropriates another’s movable item with intent to obtain unlawful material gain for himself or another by shall be punished with a fine or imprisonment of up to  three years.  (2) The attempt of the offence referred to in paragraph 1 shall be penalized.
T11TH;38;Up to 200 Euros police have discretion to drop the case (for ordinary theft of objects of small values).
T11TH;39;no data available
T11TH;44;Minor theft is treated under the Code of Ukraine on Administrative Offences of 1984.In 2009 amendments were made to Article 51 of the Code of Ukraine on Administrative Offences under which theft, fraud over 6 EUR (in 2011 - 10 EUR), is considered as a crime.  This has resulted to a sharp increase in the number of thefts.
T11TH;47;"In Scotland the term ""burglary"" is not used. Instead we refer to ""housebreaking"". The definition of housebreaking differs to burglary in that entry needs to be forced or through a non-standard entrance (e.g. a window). Where there is a theft/attempted theft from a dwelling and entry is not forced (e.g. the offender had legitimate access to the dwelling or entered under false pretences or thorugh an unlocked door) the term used is ""theft in a dwelling""."
THOFA;3;According to Armenian criminal code, the criminal responsibility for carrying firearms and hand grenades is provided by the same article. That`s why it was impossible to separate data for these offences.
THOFA;4;Financing of drug operations: Is more included in money loundering  Firearm used as a blunt weapon: depends on the investigator
THOFA;8;Police statistics include only completed homicides committed with firearms.
THOFA;9;"It seems that there is a minor mistake in Table 1.20. above; ""improvised and special firearms"" are listed twice, whereas one question from the Word questionnaire is missing (on inclusion of man-portable grenade launchers). In Croatian police statistics the notion of firearm excludes 'man-portable grenade launchers' and includes 'improvised and special firearms (e.g. pen guns)'."
THOFA;11;According to Czech Law on Firearms and Ammunition No. 119/2002 Coll.
THOFA;13;Not used in regular statistics,  although data on fire-arms related crimes are collected by the police (getting data would need special efforts, the results may not be complete and they are not directly comparable with the official statistics due to the use of different databases).
THOFA;14;In Finland no statistics on firearms used in homicide/robbery are available. According to a separate study by the National Research Institute of Legal Policy (Lehti M, Henkirikoskatsaus. Verkkokatsauksia 23/2012) in 17,0% of homicides (years 2003-2011, n=985) firearms were used. In 9.0% the weapon was pistol or revolver, in 6% a shotgun. 44% of these fireams were legal.
THOFA;15;White arms are considered
THOFA;17;The definition given above is only used for statistics on alleged offenders (1.2.1 and 1.2.2), while for offences the respective data are not available.     Instead, the following data are reported in table 1.1:   - Homicide: Firearm shot  - Robbery: Firearm used as a threat (in this category, replica weapons and unloaded weapons are included)
THOFA;24;Unable to complete this subsection as types of firearm not specified in Latvian Crminal statistics  No separate statistics on offences (e.g. homicide or robbery) commited with the use of a weapon
THOFA;25;It should be pointed out, that in Lithuanian criminal law the use of firearm in homicide crime is not considered as a separate element of corpus delicti. It is considered as one of the ways to commit murder. If the firearm is used, but the murder is not commited, then the crime is qualified as threatening to murder or cause serious health impairment  or harassment (Art. 145), and if the intention of using a firearm is to grab the property – then such acts are qualified as robbery (Art. 180).    Having of firearm might be an important circumstance qualifying such crimes in which a necessary element is the threat to use violence (for example, extortion (Art. 181, rape and sexual assault (Art. 149, 150)).    In the corpus delicti of robbery (Art. 180.3) using of firearm is aggravating feature of crime.
THOFA;30;No subdivision in involvement of firearm possible.
THOFA;39;man-portable grenade launchers are excluded.
THOFA;43;Data for this were not available. There is a separate law on Firearms, and statistics regarding offences defied by this law as reported in aggregate form (total numbers for violations of this law), however these offences are various and thus it did not make sense to report these statistics.
TROFA;3;According to Armenian criminal code, the criminal responsibility for carrying firearms and hand grenades is provided by the same article. That`s why it was impossible to separate data for these offences.
TROFA;4;Financing of drug operations: Is more included in money loundering  Firearm used as a blunt weapon: depends on the investigator
TROFA;8;Police statistics include only completed homicides committed with firearms.
TROFA;9;"It seems that there is a minor mistake in Table 1.20. above; ""improvised and special firearms"" are listed twice, whereas one question from the Word questionnaire is missing (on inclusion of man-portable grenade launchers). In Croatian police statistics the notion of firearm excludes 'man-portable grenade launchers' and includes 'improvised and special firearms (e.g. pen guns)'."
TROFA;11;According to Czech Law on Firearms and Ammunition No. 119/2002 Coll.
TROFA;13;Not used in regular statistics,  although data on fire-arms related crimes are collected by the police (getting data would need special efforts, the results may not be complete and they are not directly comparable with the official statistics due to the use of different databases).
TROFA;14;In Finland no statistics on firearms used in homicide/robbery are available. According to a separate study by the National Research Institute of Legal Policy (Lehti M, Henkirikoskatsaus. Verkkokatsauksia 23/2012) in 17,0% of homicides (years 2003-2011, n=985) firearms were used. In 9.0% the weapon was pistol or revolver, in 6% a shotgun. 44% of these fireams were legal.
TROFA;15;White arms are considered
TROFA;17;The definition given above is only used for statistics on alleged offenders (1.2.1 and 1.2.2), while for offences the respective data are not available.     Instead, the following data are reported in table 1.1:   - Homicide: Firearm shot  - Robbery: Firearm used as a threat (in this category, replica weapons and unloaded weapons are included)
TROFA;24;Unable to complete this subsection as types of firearm not specified in Latvian Crminal statistics  No separate statistics on offences (e.g. homicide or robbery) commited with the use of a weapon
TROFA;25;It should be pointed out, that in Lithuanian criminal law the use of firearm in homicide crime is not considered as a separate element of corpus delicti. It is considered as one of the ways to commit murder. If the firearm is used, but the murder is not commited, then the crime is qualified as threatening to murder or cause serious health impairment  or harassment (Art. 145), and if the intention of using a firearm is to grab the property – then such acts are qualified as robbery (Art. 180).    Having of firearm might be an important circumstance qualifying such crimes in which a necessary element is the threat to use violence (for example, extortion (Art. 181, rape and sexual assault (Art. 149, 150)).    In the corpus delicti of robbery (Art. 180.3) using of firearm is aggravating feature of crime.
TROFA;30;No subdivision in involvement of firearm possible.
TROFA;39;man-portable grenade launchers are excluded.
TROFA;43;Data for this were not available. There is a separate law on Firearms, and statistics regarding offences defied by this law as reported in aggregate form (total numbers for violations of this law), however these offences are various and thus it did not make sense to report these statistics.
T11DR;2;It is not clear, if the possession for personal use is included ore not at the police statistics.
T11DR;3;Armenian legislator provided criminal responsibility for offences with the respect to precursor substances in the same definitions which provide responsibility for the offences with the respect to drugs. That`s why it was impossible to separate the data for offences with respect to precursor substances.
T11DR;4;included as from 2008 (SMG Novelle): § 27 Abs 1, Abs 3, Abs 4, § 28 Abs 1-3, § 28a Abs 1, 2, 4, 5, § 30 Abs 1, § 31 Abs 1-3, § 31a Abs 1-3, § 32 Abs 1 SMG
T11DR;6;"1) Possession and use of drugs are not taken into account  2) Precurdors are used to produce synthetic drugs, suchlike offences will be registered as ""fabrication of drugs"""
T11DR;8;There are no available police and conviction statistics on drug trafficking.
T11DR;9;"This, 5th edition includes both ""ordinary"" and organized drug trafficking under the same heading of drug trafficking, which was not the case in the 4th edition of the ESB for Croatia (which did not count aggravated drug trafficking offences in the overall number og drug trafficking cases). Therefore the number of drug trafficking offences reported by the police in 2007 is not the same in the 4th and in the 5th edition of ESB."
T11DR;11;possession for personal use in large quantities is included
T11DR;12;Se above
T11DR;13;PC §§183-190 (i.e covered by 1.17).
T11DR;14;Drug trafficking = aggravated drug offence
T11DR;17;"Drug trafficking is not a separate offence according to German criminal law. Possession, production, cultivation, sale, transportation, importation and exportation of drugs are all mentioned in the same penal rule. A connection with personal use is only of importance with respect to small quantities. Apart from that, drug trafficking without connection to personal use will lead to a more severe punishment; however, this concept is NOT separately identifiable in criminal law. The aggravated drug offences are defined by the high quantity of drugs possessed etc. or by other aggravating circumstances, but not by the fact that someone sells drugs without connection to personal use. Therefore, there are no data on drug trafficking available on conviction level. On police level, data can be provided due to criminological categories used in police statistics."
T11DR;19;offences with respect to precursor substances: separate offence
T11DR;25;"Drug trafficking comprises: illegal possession of narcotic or psychotropic substances with intent of distributing them, also illegal possession of very big quantity of narcotic or psychotropic substances (Art. 260); distribution of narcotic or psychotropic substances to minors (Art. 261).  In the abomentioned crimes corpus delicti it is entrenched not only direct selling or distributing of narcotic or psychotropic substances, but also alternative acts as producing, remaking, holding, carrying, transmission with the purpose to sell or distribute them.  Distribution of narcotic or psychotropic substances to minors comprises distribution with scope of selling as well as without the scope of selling. Thus statistics of Art. 261 show the cases without scope of selling, as well.  Financing of drug operations is not included in corpus delicti of drug crimes, but such acts  can be punished as aiding or organizing to commit drug crime."
T11DR;30;No subdivision in (aggravated) drug trafficking possible.
T11DR;32;Drug offences: “consumption” and “purchase” are not offences.    For Polish data as in previous edition only aggravated offence of selling, transportation, importation, exportation was taken into account and not possession or delivery.
T11DR;33;Since 2001, by the Law 30/2000 of 29th November, the possession of drugs for personal use has not been considered a crime. Only cultivation, either for personal use or for any other end, is still criminally considered.
T11DR;36;Please see additional information on the definitions in the Serbian CC in comment 1.17.b.
T11DR;39;Data on drug trafficking refer to arts. 368 to 371 of the Spanish Criminal Code: Drug trafficking
T11DR;43;Turkey is considered a traditional drug producing country. LEgal cultivation of opium and its processing (for pharmaceutical industry) is regulated by separate law. Violations of this law (which is separate from the criminal code) were not included into statistics.
T11CO;2;At the police statistics, there is only an general item: corruption
T11CO;4;"included: §§ 302, 304, 305, 306, 307, 307a, 307b, 308 StGB    Important remark for the future:  § 74 Abs. 1 Z 4a a): With 1 January 2013 so called ""Amtstraeger"" are not including elected representatives while voting."
T11CO;8;Extortion committed by public officials is excluded except for the cases of bribery committed through extortion by abusing one’s official position. Offering officials advantages without immediate interest is not a criminal offence under Bulgarian law.
T11CO;11;Corruption in the public sector covers bribe-giving, bribe-taking and indirect bribery in connection with arrangements of a matter of public interest.  Instigation and complicity is participation in a criminal offence generally  Extortion is a separate crime
T11CO;13;PC §§293-298.   Corruption in the private sector is not distinguished in the Penal Code.
T11CO;18;Police statistics provide aggregate counts for offences included in ch. 12 GPC (all offences concerning public service)
T11CO;25;"Statistical data comprise the following articles: Art. 225 - taking bribe; Art. 226 intermediary bribery (from 2011-06-21 – trading in influence); giving bribe (Art. 227).   The subject of bribery can be not only an officer, but also a person who is equated to the office - works in public or private sector and has administrative powers or renders public services."
T11CO;35;• The instigator is punishable as a crime accessory. On the other hand, art.291 of Criminal Code states that a person forced to bribe an official due to his/her instigation is not to be punished.
T11CO;36;Within the corruption we included two criminal offences: taking bribes and offering bribes.    Definitions of these criminal offences in the CC of Serbia:  Taking Bribes  (1) An official who directly or indirectly solicits or accepts a gift or other benefit, or the promise of a gift or other benefit for himself or another to perform an official act within his  competence that should not be performed or not to perform an official act that should be performed, shall be punished by imprisonment of from two to twelve years.  (2) An official who solicits or accepts a gift or other benefit or a promise of a gift or benefit for himself or another to perform an official act within his competence that he is obliged to perform or not to perform an official act that should not be performed, shall be  punished by imprisonment of from two to eight years.  (3) An official who commits the offence referred to in paragraphs 1 and 2 of this Article in connection with the detection of a criminal offence, instigation or conduct of criminal  proceedings, pronouncement or enforcement of criminal sanctions, shall be punished by imprisonment of from three to fifteen years.  (4) An official who after performing or failure to perform an official act referred to in paragraphs 1, 2 and 3 of this Article solicits or accepts a gift or other benefit in relation thereto shall be punished by imprisonment of from three months to three years.  (5) A foreign official who commits the offence referred to in paragraphs 1 through 4 of this Article shall be punished by the penalty prescribed for that offence.  (6) A responsible officer in an enterprise, institution or other entity who commits the offence referred to in paragraphs 1, 2 and 4 of this Article shall be punished with the penalty prescribed for that offence.  (7) The received gift or material gain shall be seized.  Offering Bribes  (1) Whoever makes or offers a gift or other benefit to an official, to within his official competence perform an official act that should not be performed or not to perform an  official act that should be performed, or who acts as intermediary in such bribery of an official, shall be punished by imprisonment of from six months to five years.  (2) Whoever makes or offers a gift or other benefit to an official to, within his official competence, perform an official act that he is obliged to perform or not to perform an  official act that he may not perform or who acts as intermediary in such bribery of an official, shall be punished by imprisonment of up to three years.  (3) Provisions of paragraphs 1 and 2 of this Article shall apply also when a bribe is made or offered to a foreign official.  (4) The offender referred to in paragraphs 1 through 3 of this Article who reports the offence before becoming aware that it has been detected may be remitted from punishment.  (5) Provisions of paragraphs 1, 2 and 4 of this Article shall also apply when a bribe is given or promised to a responsible officer in an enterprise, institution or other entity.  (6) A gift or other benefit seized from the person accepting the bribe may, in the case referred to in paragraph 4 of this Article, be returned to the persons giving the bribe.
T11CO;37;“Extortion” is a different (individual) offence.
T11CO;39;Data on money laundering refer to arts. 286bis, 319, 320, 404 to 406, and 419 to 445 of the Spanish Criminal Code, that include:  -CORRUPTION BETWEEN PRIVATE INDIVIDUALS.  -CORRUPTION ON SPORT.  -FELONIES CONCERNING ORGANISATION OF THE TERRITORY AND TOWN PLANNING.  -PERVERTING THE COURSE OF JUSTICE BY CIVIL SERVANTS (ALSO URBAN).   -BRIBERY.  -INFLUENCE PEDDLING.  -EMBEZZLEMENT.  -FRAUD AND ILLEGAL TAXATION.  -PROHIBITED NEGOTIATIONS AND ACTIVITIES FOR CIVIL SERVANTS AND ABUSE WHEN CARRYING OUT THEIR OFFICIAL DUTIES.  -FELONIES OF CORRUPTION IN INTERNATIONAL COMMERCIAL TRANSACTIONS.
T11CO;40;Corruption only includes bribery crimes.
T11CO;44;Corruptions as a crime under Criminal Code of Ukraine include such types of illegal actions: taking a bribe – article 368 (passive corruption), giving a bribe – article 369 (active corruption), and provocation of bribery– article 370.  Corruption is classified as crimes in office. The main peculiarity of such crimes is the special subject – an official. Criminal Code of Ukraine defines official as persons who permanently or temporary represent public authorities, and also permanently or temporary occupy positions in businesses, institutions or organizations of any type of ownership, which are related to organizational, managerial, administrative and executive functions, or are specifically authorized to perform such functions. Officials shall also mean foreigners or stateless persons who perform the functions described above. Committing acts described in articles 369-370 of  Criminal Code of Ukraine by another person who can not be classified as official excludes liability under these articles. Taking a bribe (article 368) may be committed by non-official but must be referred to an official.
T11ML;4;included: § 165 StGB
T11ML;8;There are no available conviction statistics on money laundering.
T11ML;12;The penal code does not include a special article concerning money laundering
T11ML;13;PC §394.
T11ML;18;Data unavailable. Law 2331/1995 provides for the criminalization of money laundering. This crime is not included in the Greek Penal Code and the Greek Statistical Authority (ELSTAT) has not yet included it among the category of “Special Criminal Laws as e.g. Laws referring to drug or traffic violations.
T11ML;25;Statistical data comprise the following article: Legalizing of money or other property which was obtained unlawfully (in a criminal way), - CC Art. 216.
T11ML;32;Money laundering: “violations of the ‘know-your-customer’ rule” is not applicable.
T11ML;35;Rule ‘know-your-customer’ does not normally apply in Russian legislation though certain cases are set when different businesses have to inform Financial Intelligence on transactions with more than 600 thousand RUR (16.5 thousand EUR) involved.
